ein,first_name,last_name,department,gender,salary,legacy,old_premium
89-3132135,Slade,Abramof,Product Management,M,75649.47,false,0
70-7301257,Claudelle,de Keep,Accounting,F,72621.76,false,0
40-5943589,Jamil,Crame,Engineering,M,87184.35,true,2615.5305
55-7478790,Kean,Vasyukhnov,Human Resources,M,79724.37,false,0
10-5253883,Thacher,Antognoni,Marketing,M,88791.11,true,2663.7333
83-6118801,Cathrine,Kilcoyne,Training,F,117093.25,false,0
33-6400805,Chico,Cowie,Legal,M,53180.6,true,1595.418
53-6296767,Wiley,Doudney,Human Resources,M,78736.25,false,0
53-0296532,Blisse,Blenkiron,Business Development,F,95139.87,false,0
96-5860859,Amalita,Haskey,Product Management,F,87200.58,false,0
68-3058700,Laughton,Pask,Sales,M,61170.12,true,1835.1036
03-6336481,Agnesse,Patemore,Product Management,F,108690.97,true,3260.7291
12-3418217,Elissa,Tschirasche,Services,F,50546.77,false,0
49-0513723,Trix,O' Concannon,Legal,F,82711.24,true,2481.3372
24-6302615,Tiebold,Caddock,Training,M,42040.89,false,0
44-0792163,Lynnelle,Vears,Human Resources,F,89448.15,true,2683.4445
55-3293521,Coralie,Olsson,Accounting,F,60078.76,true,1802.3628
32-1638762,Selia,Offill,Training,F,86339.98,false,0
65-0622504,Reginald,MacCook,Human Resources,M,69452.68,false,0
62-5848383,Alexis,Lethbury,Training,F,59941.83,false,0
86-7826894,Benjie,Knight,Research and Development,M,59023.99,false,0
63-0736842,Merrick,Etoile,Services,M,38077.77,false,0
56-2141470,Ximenes,Butte,Marketing,M,63132.34,true,1893.9702
40-7828051,Mala,Haining,Engineering,F,73860.79,true,2215.8237
24-9159793,Damiano,Oakes,Accounting,M,41628.76,false,0
32-7593964,Kania,Probert,Training,F,41197.99,true,1235.9397
38-8885078,Natka,Jantzen,Research and Development,F,35289.06,false,0
21-3601477,Kerk,Atling,Sales,M,67729.32,false,0
30-2913125,Kare,Fairlie,Business Development,F,53281.9,true,1598.457
16-4080417,Nikita,Breddy,Training,M,-2695.74,true,-80.8722
38-6623481,Bartolemo,Canner,Business Development,M,95149.69,false,0
00-4145065,Odelinda,Paget,Product Management,F,67808.4,true,2034.252
03-1655307,Luis,Peschke,Sales,M,68333.73,false,0
42-0097267,Dennie,Bolam,Services,F,45025.5,true,1350.765
88-3015947,Chip,Odd,Human Resources,M,89820.96,false,0
63-9196745,Bren,Deare,Research and Development,F,117869.83,true,3536.0949
17-6515996,Paulo,Riste,Engineering,M,59656.47,true,1789.6941
25-1226534,Dewitt,Vlies,Human Resources,M,96120.08,true,2883.6024
78-9902011,Pebrook,Deere,Marketing,M,63791.46,true,1913.7438
95-4207129,Alexandra,Witling,Product Management,F,68449.84,false,0
33-0696357,Britt,Sowerbutts,Training,M,87741.95,true,2632.2585
51-0029535,Van,Caulfield,Engineering,M,92175.45,true,2765.2635
80-1483044,Ki,Spohr,Product Management,F,56805.49,false,0
98-2302825,Augy,Janz,Research and Development,M,74729.71,false,0
73-2107543,Donnell,Girton,Accounting,M,93883.86,false,0
38-5607054,Maura,Ipgrave,Engineering,F,51084.49,false,0
70-1335043,Eddy,Linch,Legal,F,23259.89,true,697.7967
18-6263150,Giacomo,McDell,Marketing,M,88214.76,false,0
27-7071475,Zacharias,Ladbury,Support,M,87250.4,true,2617.512
17-9509816,Perceval,Hyett,Engineering,M,60931.44,true,1827.9432
32-2001778,Phyllys,Avramovsky,Business Development,F,89804.78,false,0
69-5036578,Nicoline,Traill,Support,F,71453.1,false,0
21-5134786,Zsazsa,Sansam,Services,F,77979.0,false,0
88-1142250,Ardella,Keets,Support,F,48401.29,false,0
87-0194417,Steven,McCorkindale,Legal,M,73346.86,true,2200.4058
69-7029347,Lanita,Bellenger,Sales,F,86134.07,true,2584.0221
08-4730971,Mohammed,Peskett,Research and Development,M,53608.77,false,0
67-1132216,Cad,Macer,Sales,M,61916.81,true,1857.5043
55-9344919,Mayne,Adamo,Product Management,M,83380.18,false,0
11-8240503,Johnna,Scotchmer,Engineering,F,57377.52,false,0
67-2418772,Minnie,Scotney,Business Development,F,74254.97,false,0
26-9386355,Gusella,McQuaide,Product Management,F,50366.31,true,1510.9893
02-2170023,Alene,Endersby,Sales,F,75424.95,true,2262.7485
01-9619514,Hettie,Klaff,Legal,F,106613.02,true,3198.3906
70-8706231,Brana,Chat,Accounting,F,78802.37,false,0
80-5394437,Joelly,Peaker,Services,F,86708.81,false,0
36-8166220,Kenton,Sawkin,Marketing,M,76186.27,false,0
29-4785604,Sam,Gieves,Engineering,F,47412.04,true,1422.3612
10-9991139,Even,Laguerre,Sales,M,81779.96,true,2453.3988
09-9460273,Piotr,Dangerfield,Accounting,M,66735.12,true,2002.0536
12-9005628,Pat,Cockram,Accounting,M,84185.74,false,0
44-4897993,Jade,Southgate,Accounting,F,70679.87,false,0
12-5517354,Claudian,Pfaffe,Legal,M,43347.93,false,0
47-7417790,Bronnie,Wylder,Human Resources,M,96221.49,false,0
29-7047837,Tiebold,Camsey,Product Management,M,17348.36,true,520.4508
67-5228070,Farrel,Keirl,Research and Development,M,45465.83,false,0
60-7156258,Carrissa,Slayford,Engineering,F,80664.95,false,0
54-2075551,Durante,Sokill,Legal,M,79582.03,true,2387.4609
92-7993190,Marvin,Blaycock,Business Development,M,32329.56,true,969.8868
93-0622886,Elicia,Ceyssen,Research and Development,F,87043.85,false,0
51-3022801,Gearalt,Phear,Product Management,M,78857.31,true,2365.7193
89-2975147,Lance,Mowatt,Support,M,47007.02,false,0
19-1963350,Hersh,Rawnsley,Accounting,M,52182.32,true,1565.4696
03-0990677,Rod,Abendroth,Marketing,M,38266.87,false,0
87-3446674,Cash,Ingerman,Services,M,75146.55,false,0
75-1568526,Wilfred,Berthelmot,Services,M,87480.78,false,0
11-0122092,Wendie,Booy,Marketing,F,33926.31,true,1017.7893
13-3612636,Allyson,Mantione,Legal,F,87830.55,true,2634.9165
65-4355875,Kev,Haffenden,Accounting,M,70453.35,true,2113.6005
79-0385013,Steward,Girth,Accounting,M,64116.83,true,1923.5049
35-5301950,Kaila,Dameisele,Business Development,F,76490.66,false,0
03-1015484,Cristina,Koppelmann,Support,F,44759.61,true,1342.7883
23-0899951,Bartolomeo,Duester,Services,M,100768.49,true,3023.0547
61-5673984,Libbie,Showalter,Accounting,F,86457.88,true,2593.7364
77-6610178,Kevon,Curuclis,Business Development,M,15055.85,false,0
39-3198934,Beckie,Vasilchikov,Product Management,F,69050.5,false,0
95-8872873,Skyler,Minster,Sales,M,68515.26,true,2055.4578
11-7485436,Hillie,Woodall,Business Development,M,107981.61,true,3239.4483
56-7278196,Dieter,Pirrey,Business Development,M,100121.54,true,3003.6462
01-0477035,Darb,Kaesmakers,Accounting,F,66784.08,true,2003.5224
59-8431047,Avrit,Bushen,Human Resources,F,53643.56,true,1609.3068
92-5350052,Gerry,Bartaloni,Support,M,73312.01,false,0
13-6448410,Bessy,Sheeran,Legal,F,48990.49,true,1469.7147
88-1193572,Cristine,Alennikov,Accounting,F,114795.05,false,0
82-2759651,Cori,Dearlove,Business Development,M,91237.42,true,2737.1226
82-7331288,Forster,Tinham,Services,M,53585.39,false,0
55-4222076,Eunice,Gresswell,Product Management,F,61419.81,true,1842.5943
68-9938809,Ira,Collicott,Services,F,57486.89,false,0
10-4882381,Christoper,Selkirk,Support,M,124116.74,true,3723.5022
54-2763843,Helena,Vynehall,Human Resources,F,81502.3,true,2445.069
72-1088591,Claresta,Frankum,Sales,F,69112.73,true,2073.3819
49-7628560,Jermain,Hinze,Engineering,M,110055.43,false,0
19-0959921,Cirilo,Hewell,Sales,M,95480.06,false,0
09-2534526,Orelie,Mathouse,Product Management,F,87279.64,false,0
70-7745085,Barbette,Chichgar,Business Development,F,59002.64,false,0
11-2936100,Wilbert,Curphey,Sales,M,60942.69,true,1828.2807
16-7309636,Aloin,Hughes,Engineering,M,28291.62,false,0
46-7316424,Nappy,Facer,Engineering,M,80547.48,true,2416.4244
55-4807865,Marigold,Telezhkin,Support,F,77767.51,false,0
59-7389748,Sapphira,Iceton,Business Development,F,61015.19,false,0
54-2404456,Spense,Oiseau,Services,M,73530.83,true,2205.9249
64-2981860,Sebastiano,Chestnut,Research and Development,M,63520.0,true,1905.6
29-0589618,Bartolomeo,Northern,Sales,M,93492.6,false,0
60-4817591,Ceciley,Primmer,Sales,F,70429.82,false,0
55-1730064,Leighton,Doles,Support,M,42338.51,true,1270.1553
27-1859098,Delphine,Woodburne,Services,F,87281.72,false,0
29-3987309,Talya,Teaz,Marketing,F,47611.99,false,0
65-4149815,Ara,Strang,Human Resources,F,75872.75,true,2276.1825
51-2332898,Clerissa,Blaszczak,Human Resources,F,50613.04,true,1518.3912
10-5642271,Daphene,Farherty,Legal,F,52750.55,false,0
36-3063509,Babette,Saveall,Marketing,F,53405.03,true,1602.1509
48-1640585,Chester,Pordall,Marketing,M,100762.54,false,0
26-6161945,Skyler,Billson,Human Resources,M,79692.66,true,2390.7798
00-2369756,Emery,Eate,Research and Development,M,68099.6,true,2042.988
14-8784054,Noby,Gebbe,Support,M,54653.8,false,0
21-7137301,Palm,Izzatt,Human Resources,M,68391.26,true,2051.7378
95-2312651,Horatia,Rowesby,Business Development,F,75190.01,false,0
44-4515552,Eleanor,Keepe,Legal,F,67680.71,true,2030.4213
59-6279589,Anderea,Loosemore,Research and Development,F,31161.62,false,0
32-6286916,Dorine,Lynam,Engineering,F,75979.09,false,0
87-3439931,Zed,Morphew,Training,M,70085.9,true,2102.577
80-2531937,Ogden,Keary,Training,M,67240.63,false,0
27-1914213,Michelina,Dockrey,Human Resources,F,64548.73,false,0
49-9390168,Bertie,Fullard,Legal,M,91642.39,true,2749.2717
11-4136447,Malissa,Pautard,Research and Development,F,58697.05,false,0
15-7369677,Rebeca,Filippozzi,Services,F,83230.35,true,2496.9105
97-6750384,Allard,Vaud,Research and Development,M,65931.21,true,1977.9363
76-8108733,Queenie,Baudacci,Human Resources,F,83584.93,true,2507.5479
72-4806910,Dalila,Gloy,Research and Development,F,99493.52,true,2984.8056
53-5551049,Ric,Farrington,Support,M,124109.59,false,0
51-3897294,Susanna,Brumbye,Business Development,F,67826.06,true,2034.7818
83-8361972,Chrissie,Fewless,Legal,F,56762.05,true,1702.8615
35-0767173,Dode,McDermot,Accounting,F,39845.82,true,1195.3746
98-2289428,Quintilla,Airs,Services,F,83196.14,true,2495.8842
37-2871349,Dosi,Boxhall,Marketing,F,63252.28,false,0
71-7624676,Kyle,Presslie,Human Resources,F,52299.17,false,0
83-1850084,Selena,felip,Business Development,F,69815.75,false,0
92-0437587,Shirleen,Tezure,Accounting,F,61613.09,true,1848.3927
06-6444589,Bekki,Klimko,Business Development,F,38329.87,true,1149.8961
45-4834209,Beniamino,Bernardi,Marketing,M,64069.13,true,1922.0739
58-3141707,Herrick,Hews,Sales,M,73012.48,false,0
84-0460927,Sterling,Cato,Human Resources,M,59257.68,true,1777.7304
00-8454847,Fee,Hryniewicz,Human Resources,M,88756.66,true,2662.6998
13-7232907,Merola,Miguet,Sales,F,74126.97,true,2223.8091
64-9856440,Waylon,Liggens,Research and Development,M,108100.02,false,0
51-7872665,Tommy,Scamel,Sales,M,85692.65,true,2570.7795
70-8388533,Chaunce,Windrum,Services,M,44755.15,true,1342.6545
20-2510615,Edita,Pettis,Marketing,F,46444.31,false,0
94-3286608,Stanislaus,Schinetti,Support,M,59051.55,false,0
05-4570337,Cosme,Standfield,Business Development,M,92260.05,false,0
42-8709690,Ivar,Levin,Legal,M,47394.8,false,0
62-5399307,Weider,Tompsett,Support,M,72049.47,false,0
79-6299167,Prisca,Crowd,Engineering,F,70677.26,false,0
90-9923855,Jason,Gantzman,Research and Development,M,75869.0,true,2276.07
61-2888391,Annabel,McArdle,Research and Development,F,48855.51,true,1465.6653
60-2170378,Borden,Simper,Engineering,M,61516.95,true,1845.5085
67-9711701,Toma,O'Loughane,Accounting,F,89250.6,true,2677.518
90-7447169,Kellsie,Hynde,Sales,F,26027.31,true,780.8193
30-4531733,Junette,Guillford,Legal,F,105675.17,true,3170.2551
51-5069564,Cara,Saxby,Services,F,60032.54,true,1800.9762
06-4738710,Saidee,Northwood,Accounting,F,49529.93,false,0
77-5764364,Eveleen,Rothert,Sales,F,29003.67,false,0
67-4832304,Merla,Horley,Sales,F,91468.03,false,0
44-4213765,Toinette,Yarrall,Engineering,F,36237.41,false,0
46-7012449,Sutton,Tracy,Human Resources,M,51256.53,false,0
05-6508092,Jacqueline,Paulson,Services,F,74786.39,false,0
70-5926145,Meryl,Slany,Marketing,M,69586.05,true,2087.5815
40-4009177,Dix,Prosh,Accounting,F,74650.71,true,2239.5213
47-8727697,Waldemar,Titterton,Engineering,M,72199.75,true,2165.9925
87-6570278,Sosanna,Arp,Sales,F,79298.72,false,0
75-7411542,Adrien,Kyrkeman,Human Resources,M,83891.87,true,2516.7561
08-7317207,Emmy,Traise,Human Resources,F,64426.1,true,1932.783
82-8892545,Aida,Devenish,Business Development,F,75104.16,false,0
28-1077657,Andrey,Goold,Services,M,83167.95,true,2495.0385
38-5771183,Rock,Kristiansen,Product Management,M,77712.51,false,0
12-4475420,Siouxie,Pulver,Business Development,F,71772.52,false,0
79-1869970,Hugh,Darlow,Engineering,M,104213.87,false,0
55-6512671,Garland,Fancy,Product Management,F,59468.92,false,0
46-1108827,Robenia,Taylour,Services,F,54012.47,false,0
59-2671800,Hamil,Dealy,Training,M,47250.75,false,0
44-1172979,Ricard,Birbeck,Research and Development,M,67632.64,true,2028.9792
35-3060260,Harwell,Lyddy,Legal,M,49553.58,true,1486.6074
41-8598433,Aloisia,Snar,Engineering,F,60489.08,true,1814.6724
36-0746110,Moreen,Downes,Product Management,F,41105.78,false,0
61-0700242,Henrik,Weale,Accounting,M,82323.35,false,0
54-8241289,Annelise,Gamlin,Research and Development,F,74973.88,false,0
02-0615037,Derron,Apfelmann,Training,M,24148.47,true,724.4541
62-1415163,Corny,Burditt,Training,F,83911.77,false,0
91-2217402,Dare,Dodgson,Engineering,M,67222.39,false,0
69-0866768,Chic,Cossam,Training,M,82949.38,true,2488.4814
19-5289990,Dorie,Purseglove,Engineering,M,33553.44,false,0
51-0216813,Nealy,Willeson,Human Resources,M,27873.21,false,0
16-9888166,Alden,Judd,Engineering,M,75635.6,true,2269.068
95-2051469,Angel,Braunfeld,Services,M,48778.69,false,0
24-8824819,Connor,McKinnon,Research and Development,M,82387.61,true,2471.6283
50-4904599,Junie,Gritten,Services,F,64045.68,false,0
69-7843789,Jayne,Rodolf,Engineering,F,62547.88,true,1876.4364
94-4549182,Rosemonde,Sendley,Training,F,76426.95,true,2292.8085
12-3958551,Talbot,McNea,Marketing,M,64209.71,false,0
02-2978013,Glyn,Fonzone,Services,F,85631.28,false,0
79-0916324,Inna,Stroud,Product Management,F,71988.37,false,0
53-5379682,Geneva,Creyke,Research and Development,F,52835.84,false,0
79-3336119,Maire,Leghorn,Engineering,F,53306.13,true,1599.1839
20-2174284,Beaufort,Varvara,Product Management,M,45596.55,false,0
64-7342344,Cori,Gillam,Research and Development,F,79689.84,true,2390.6952
04-7675027,Tana,Edgler,Marketing,F,60581.86,false,0
63-4866030,Ceil,Bellham,Marketing,F,97863.09,false,0
72-8611475,Otto,Relph,Marketing,M,88127.98,false,0
01-8071798,Efrem,Bloxsum,Marketing,M,73534.73,true,2206.0419
80-2637018,Edd,Hegges,Support,M,98900.44,false,0
44-2773114,Aguistin,Corroyer,Legal,M,111524.58,false,0
95-3462738,Loren,Sharply,Legal,F,65037.06,true,1951.1118
58-4183681,Nana,Guildford,Product Management,F,79248.35,true,2377.4505
52-9069386,Meredeth,Donkersley,Legal,M,117083.63,false,0
20-5489788,Nancie,Themann,Support,F,61803.83,true,1854.1149
13-4704405,Hunfredo,Loblie,Research and Development,M,110006.17,false,0
52-1698432,Bourke,Moohan,Business Development,M,94067.25,true,2822.0175
92-5230865,Correna,Lewinton,Sales,F,94820.29,true,2844.6087
50-3798384,Annecorinne,Cuardall,Services,F,59308.7,true,1779.261
37-7034235,Hilary,Yellop,Engineering,M,102412.04,true,3072.3612
45-9065455,Fax,Garie,Accounting,M,36722.73,false,0
18-0958357,Alikee,Cheer,Research and Development,F,90964.98,false,0
15-7792808,Carson,Warby,Marketing,M,86762.32,false,0
92-3741888,Linoel,Chaudrelle,Marketing,M,95837.12,false,0
42-4713179,Adolf,Bodicum,Business Development,M,71395.61,false,0
76-2547726,Emilio,Fivey,Training,M,85561.27,false,0
37-4580935,Frazier,Greatham,Engineering,M,77874.62,false,0
74-6850821,Devland,Ruddin,Business Development,M,74887.45,false,0
22-7499648,Enoch,Challen,Marketing,M,70028.57,false,0
15-5563554,Colas,Pynn,Human Resources,M,70638.41,false,0
10-6281163,Griff,Beckham,Human Resources,M,43536.56,false,0
28-4216512,Theodoric,Bubbins,Support,M,83159.29,true,2494.7787
52-6173275,Dolly,FitzAlan,Research and Development,F,104593.39,true,3137.8017
55-7477743,Lynette,Ixer,Sales,F,74056.8,false,0
00-5239639,Mariam,Rollings,Legal,F,88275.12,true,2648.2536
06-5668148,Agnesse,Cassius,Engineering,F,79115.26,true,2373.4578
05-9399066,Roxine,Brum,Accounting,F,90518.91,false,0
17-4216344,Lee,Writer,Human Resources,M,75456.62,false,0
37-7023880,Bernetta,Smallridge,Services,F,54795.73,false,0
50-5723124,Kaile,Scanderet,Support,F,75908.23,true,2277.2469
33-5408248,Stephan,Haseldine,Legal,M,43580.21,false,0
83-2029489,Melany,Athey,Accounting,F,72890.14,false,0
78-9344768,Mallory,Luter,Product Management,M,22244.51,false,0
65-3941765,Briggs,Worland,Business Development,M,74924.32,true,2247.7296
55-2874883,Hermy,Howels,Engineering,M,58620.57,false,0
68-8945602,Thaxter,Klosterman,Support,M,47858.99,false,0
10-4210589,Clarette,Chiles,Business Development,F,73944.46,true,2218.3338
94-3291911,Cullin,Enrietto,Accounting,M,77707.77,true,2331.2331
67-7887965,Sunshine,Soreau,Services,F,85781.33,true,2573.4399
02-7337222,Selene,Haylett,Training,F,120608.33,true,3618.2499
26-0868811,Burty,Bennion,Legal,M,72900.91,true,2187.0273
06-6987822,Jayme,Uren,Accounting,F,47907.7,true,1437.231
21-8353472,Ronica,Gonet,Product Management,F,60685.69,true,1820.5707
99-0770174,Rikki,Kryska,Sales,M,53843.73,true,1615.3119
96-3541370,Caty,Gatch,Business Development,F,37407.64,true,1122.2292
76-4623656,Reinaldo,Dametti,Human Resources,M,56691.67,true,1700.7501
63-2733375,Thia,Sturdey,Business Development,F,94741.04,false,0
86-0018505,Tomkin,Gerish,Product Management,M,53754.59,true,1612.6377
40-2031456,Carmelia,Huscroft,Accounting,F,64104.13,true,1923.1239
83-4268730,Raphael,Farmer,Engineering,M,65229.2,false,0
34-9818871,Reinaldo,Neilson,Training,M,78467.67,true,2354.0301
11-4661381,Mycah,Asaaf,Research and Development,M,70406.49,true,2112.1947
87-9839242,Elianora,Isherwood,Marketing,F,52330.59,false,0
38-7157921,Nady,Wadesworth,Sales,F,91459.93,false,0
68-6510949,Dannie,Giacomucci,Engineering,F,36071.99,false,0
82-4996412,Myrlene,Jumel,Training,F,62062.76,false,0
84-2442561,Sibyl,Gawke,Business Development,F,74444.77,true,2233.3431
11-3668177,Joel,Jozwicki,Human Resources,M,32852.49,false,0
17-1572059,Norri,Stendall,Support,F,75814.71,false,0
66-9265512,Garwin,Chittem,Accounting,M,96143.91,true,2884.3173
09-1821188,Klemens,Demsey,Product Management,M,67818.62,false,0
96-2229657,Rogers,Leddy,Product Management,M,44146.34,true,1324.3902
51-2739896,Hamnet,Jimes,Accounting,M,55510.29,false,0
09-1170574,Ruby,Fitzsymons,Business Development,F,74510.73,true,2235.3219
04-9918415,Modestia,Piburn,Marketing,F,97498.06,true,2924.9418
49-5725306,Gaby,Itter,Research and Development,F,83808.61,true,2514.2583
88-4853837,Nariko,Eingerfield,Accounting,F,102507.28,false,0
00-0822689,Jamal,Mawman,Research and Development,M,124778.92,true,3743.3676
85-8091517,Rheba,Furniss,Engineering,F,92532.63,true,2775.9789
46-3947084,Dagny,Giorgioni,Legal,M,64705.53,true,1941.1659
76-2710590,Marsh,De Paoli,Training,M,79219.65,true,2376.5895
51-8193300,Shelden,Parkinson,Services,M,85496.66,true,2564.8998
99-0573244,Dorolisa,Mankor,Accounting,F,49764.6,false,0
30-1679455,Anneliese,Moulden,Engineering,F,42697.4,false,0
78-9650351,Aretha,Blandford,Legal,F,70953.45,true,2128.6035
39-1778949,Renaud,Alexander,Sales,M,66437.97,false,0
83-4982992,Annaliese,Reckus,Services,F,69834.51,true,2095.0353
82-3756479,Armand,Hembrow,Legal,M,107167.3,true,3215.019
31-7315118,Chloe,Dewing,Engineering,F,66557.5,true,1996.725
46-8535890,Harvey,Palfrey,Sales,M,78331.24,true,2349.9372
98-1008761,Melinde,Pohlak,Marketing,F,66933.26,true,2007.9978
26-4781889,Lanie,Doerr,Marketing,F,80350.08,true,2410.5024
24-0901066,Terrie,Bignold,Training,F,50434.77,false,0
69-1899792,Benedetto,Rodrigues,Product Management,M,94367.11,true,2831.0133
64-4361169,Belia,Town,Engineering,F,52463.8,true,1573.914
85-9352643,Kellen,Riseley,Sales,M,76368.71,true,2291.0613
79-1237866,Krystal,Lawlor,Accounting,F,49006.02,false,0
33-9692926,Sadie,Zarfati,Legal,F,49605.43,false,0
19-1663560,Taffy,De Bruyne,Support,F,71982.61,false,0
92-2233005,Theresa,Vardie,Services,F,34295.71,true,1028.8713
61-4949953,Jacintha,Powell,Legal,F,85680.81,true,2570.4243
60-9338251,Sallee,Pillinger,Engineering,F,75958.76,false,0
50-4161172,Deborah,Lefley,Legal,F,61836.27,true,1855.0881
44-3500805,Darla,Roxby,Human Resources,F,75995.37,true,2279.8611
33-1418367,Ogdan,Killcross,Accounting,M,31493.07,false,0
27-3992103,Morgen,Hamel,Marketing,F,41851.95,true,1255.5585
90-3833042,Helene,Tyhurst,Engineering,F,57615.52,false,0
39-0595789,Lon,Trowbridge,Engineering,M,83642.71,false,0
27-0654854,Webb,Holyland,Marketing,M,88133.56,true,2644.0068
32-5566133,Ogdon,Ickovic,Research and Development,M,89993.11,false,0
67-5529216,Boonie,Jaume,Product Management,M,66755.0,true,2002.65
29-4101703,Grove,Coonan,Engineering,M,67140.46,false,0
00-2614015,Danyette,Kamien,Human Resources,F,85241.24,false,0
15-3059353,Win,Stern,Support,M,82920.82,true,2487.6246
65-1270118,Eric,Vivians,Human Resources,M,44178.24,true,1325.3472
17-8033519,Rosalia,McRuvie,Product Management,F,77684.32,false,0
37-5614841,Melisandra,MacAdam,Marketing,F,49719.31,true,1491.5793
80-9667814,Ardelle,Betterton,Engineering,F,42607.51,true,1278.2253
86-3723105,Rich,Browncey,Engineering,M,103773.13,false,0
16-4234757,Lynde,Haynes,Business Development,F,96968.12,true,2909.0436
38-5292411,Lorene,Florentine,Sales,F,55392.91,true,1661.7873
60-0316241,Nicki,McCorry,Services,F,35249.73,true,1057.4919
00-7925909,Tabbitha,Budleigh,Sales,F,37719.68,false,0
94-8086585,Millisent,Howship,Human Resources,F,76382.14,true,2291.4642
06-3792137,Doralia,Shasnan,Human Resources,F,76760.19,true,2302.8057
84-8896376,Stinky,Liston,Legal,M,59816.69,false,0
64-4854550,Kingsley,Wannop,Services,M,73926.6,false,0
59-2074897,Mike,Youd,Marketing,M,79515.15,false,0
90-1074559,Eugine,Jesper,Engineering,F,72665.87,false,0
21-8490848,Walliw,Maccree,Marketing,F,95470.29,true,2864.1087
08-8267546,Heall,Grund,Engineering,M,94750.73,true,2842.5219
89-1118813,Gloriane,Calvert,Services,F,57038.91,true,1711.1673
67-1391907,Helaine,Fallens,Accounting,F,73674.42,false,0
94-4867403,Anne,Welland,Training,F,121722.83,false,0
22-2936971,Lottie,Tee,Engineering,F,62940.03,false,0
16-5998021,Keefe,Garci,Human Resources,M,79389.39,false,0
69-9720256,Colby,Chapelhow,Support,M,56529.68,false,0
03-7094273,Gilemette,Speer,Marketing,F,61476.82,true,1844.3046
80-4739459,Josy,Randals,Support,F,24803.73,true,744.1119
26-6699124,Milty,Targe,Business Development,M,57855.22,false,0
04-3400128,Elysia,Jewiss,Sales,F,98877.75,true,2966.3325
49-9465241,Farr,New,Business Development,M,91844.36,false,0
50-5604983,Gunner,Brotherton,Legal,M,64817.39,true,1944.5217
62-9634938,Madison,Rosenshine,Legal,M,76319.42,true,2289.5826
66-8586117,Kermie,Strickler,Legal,M,60369.27,false,0
15-9229609,Lorin,Birckmann,Sales,M,79903.17,true,2397.0951
45-6136743,Ivy,Mant,Research and Development,F,77947.46,false,0
83-1349119,Teodorico,Castlake,Product Management,M,93496.47,false,0
95-4953588,Herold,Cowp,Human Resources,M,68308.57,true,2049.2571
83-3765587,Kira,Moule,Product Management,F,86820.01,true,2604.6003
45-7496027,Stacee,Calderwood,Business Development,M,70817.59,false,0
60-7094389,Gabriele,Demetr,Services,M,61967.5,false,0
30-2403318,Carine,Knocker,Training,F,128329.36,false,0
10-5534122,Alyosha,Bowie,Research and Development,M,114143.17,true,3424.2951
66-3750079,Cally,Camillo,Support,F,69119.65,true,2073.5895
64-7410677,Bailie,Halladay,Marketing,M,63259.55,false,0
95-7013893,Bertrand,Sanham,Training,M,71203.84,false,0
73-7543796,Westleigh,Ingerson,Support,M,47901.86,true,1437.0558
89-1748473,Jeanie,Pavlenkov,Marketing,F,99954.57,true,2998.6371
26-9032719,Ernesto,Fonso,Accounting,M,59816.96,false,0
99-4346644,Katheryn,Flounders,Support,F,112088.29,true,3362.6487
98-8924916,Mayer,Barniss,Business Development,M,67182.69,true,2015.4807
01-9464921,Eleni,Henken,Marketing,F,68943.44,false,0
00-9308204,Sisile,Ludlam,Support,F,76289.73,false,0
